Organization Name,Organization Name URL,Last Funding Date,Number of Employees,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Hub Tags,Full Description,Investor Type,Investment Stage,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Funding Status,Top 5 Investors,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,SEMrush - Monthly Visits,Contact Email,Phone Number
Ariadne Maps,https://www.crunchbase.com/organization/ariadne-maps,2021-10-20,11-50,2019-03-25,day,"Advertising, Analytics, Artificial Intelligence, Indoor Positioning, Information Technology, Location Based Services, Retail Technology, Software","Garching Bei München, Bayern, Germany",Ariadne Maps is a high technology company that provides detailed customer analytics with its cutting edge artificial intelligence approach.,"31,778",$1M to $10M,Active,For Profit,https://ariadnemaps.com/,https://twitter.com/ariadne_maps,https://www.facebook.com/ariadnemaps/,https://www.linkedin.com/company/ariadne-maps,,"Ariadne Maps is a high technology company that provides detailed customer analytics with its cutting edge artificial intelligence approach.  Ariadne enables indoor and outdoor localization and tracking in publicly accessible areas such as train stations, malls as well as shops and airports. They make use of advanced artificial intelligence algorithms for precise and anonymous tracking of passengers and customers to help businesses to optimize their infrastructure for minimizing congestion hence dwell time, advertising and marketing while maximizing satisfaction and experience of consumers.",,,2000000,EUR,2330730,Seed,2000000,EUR,2330731,2000000,EUR,2330730,Seed,Seed,"EIT Digital Accelerator, Marathon Venture Capital, Sasya Terra, Raoul Oberman",,,10,305,contact@ariadnemaps.com,+49 (0) 1744079675
Mainz Biomed,https://www.crunchbase.com/organization/mainz-biomed,2022-01-26,11-50,2021-01-01,year,Biotechnology,"Mainz, Rheinland-Pfalz, Germany",Mainz BioMed molecular genetic diagnostics company.,"31,822",,Active,For Profit,https://mainzbiomed.com,,,https://www.linkedin.com/company/mainz-biomed,,Mainz BioMed develops market-ready molecular genetic diagnostic solutions for life-threatening conditions. Mainz Bio is Specializing in the early detection of cancer with it's flagship product COloAlert.,,,22500000,USD,22500000,Post-IPO Equity,22500000,USD,22500000,22500000,USD,22500000,Post-IPO Equity,IPO,,2022-06-14,,10,926,info@mainz-biomed.com,+49 (0) 6131 / 55428-60
Servislet,https://www.crunchbase.com/organization/servislet,2021-12-01,11-50,2017-07-15,day,"Automotive, E-Commerce, Enterprise Software, Marketplace, SaaS","Ankara, Ankara, Turkey",Servislet is a full solution SAAS and marketplace provider in the automotive industry.,"31,857",,Active,For Profit,https://www.servislet.com,https://twitter.com/servislet,https://www.facebook.com/servislet/,https://www.linkedin.com/company/18096917/,,"Servislet is SAAS and marketplace provider for manufacturers, service providers and sell-off locations in the automotive industry. Servislet digitalizes offline locations and create micro, brand specific marketplaces.",,,12000000,USD,12000000,Series A,22058671,USD,22058671,12000000,USD,12000000,Series A,Early Stage Venture,"Keiretsu Forum, Alesta Yatırım, Ethos Capital, Autostop Global, Emrullah Eruslu",,,6,"10,071",info@servislet.com,8503020502
Vault Hill,https://www.crunchbase.com/organization/vault-hill-limited,2022-01-10,11-50,2021-05-20,day,"Augmented Reality, Blockchain, Cryptocurrency, Software, Virtual Currency, Virtual Reality","London, England, United Kingdom",A human-centric metaverse designed to make you feel more human,"31,980",,Active,For Profit,https://vaulthill.io,https://twitter.com/vault_hill,https://www.facebook.com/VaultHillCommunity,https://www.linkedin.com/company/vaulthill/,,Human-centric metaverse,,,,,,Initial Coin Offering,2100000,USD,2100000,,,,Initial Coin Offering,,"TrustSwap, Master Ventures, Kommunitas, R-930 Capital, Girnas Capital",,,19,"3,382",jimi@vaulthill.io,07988077916
Sunhero,https://www.crunchbase.com/organization/sunhero,2022-02-14,51-100,2021-01-01,year,"Renewable Energy, Solar","Berlin, Berlin, Germany",Sunhero delivers custom-built solar panel solutions.,"32,099",,Active,,https://www.sunhero.com/,,,https://www.linkedin.com/company/sunhero/about/,,"Sunhero delivers custom-built solar panel solutions. Sunhero offers consumers a hassle-free method of installing customised photovoltaic solar systems on their homes, be that either purchasing outright or renting for a 20 year period.",,,3500000,EUR,3957100,Seed,3500000,EUR,3957101,3500000,EUR,3957100,Seed,Seed,"Speedinvest, All Iron Ventures",,,19,"3,823",contact@sunhero.com,
EmailTree AI,https://www.crunchbase.com/organization/emailtree-ai,2022-01-14,11-50,2019-01-15,day,"Artificial Intelligence, SaaS, Software","Luxembourg, Luxembourg, Luxembourg",Reinvent the customer experience with an intelligent end-to-end customer service automation.,"32,124",,Active,For Profit,https://emailtree.ai,,,https://www.linkedin.com/company/emailtree/,,"Reply to emails in seconds using hyperautomation! EmailTree AI comes as an end-to-end solution to increase email productivity, automate email composition and trigger automatic actions in databases. NLP/NLU, ML and RPA techniques allow spending considerably less time for customer services and support teams when managing emails or other text inputs.",,,2500000,EUR,2853825,Undisclosed,4750000,EUR,5487639,2500000,EUR,2853825,Undisclosed,,"InnovX-BCR, Xavier Buck, Growceanu Angel Investment, Christophe Bianco",,,6,"1,284",contact@emailtree.ai,
Enterprise Bot,https://www.crunchbase.com/organization/enterprise-bot,2021-11-01,51-100,2017-08-01,month,"Artificial Intelligence, Enterprise Software, Machine Learning","Adliswil, Zurich, Switzerland",The conversational process automation company serving large enterprises globally,"32,175",Less than $1M,Active,For Profit,http://www.enterprisebot.ai/,https://twitter.com/enterprisebot,https://www.facebook.com/enterprisebot/,https://www.linkedin.com/company-beta/13210979/,,Enterprise Bot provides enterprises with a powerful AI-powered conversational automation tool to not only enhance customer experience but also . The multi platform messenger takes care of a wide range of customer needs and queries for call centers reducing costs by 85% and wait time by 90-95%.,,,2500000,USD,2500000,Seed,2500000,USD,2500000,2500000,USD,2500000,Seed,Seed,"Startupbootcamp, GoBeyond, SICTIC, MassChallenge Switzerland, Angelsquare",,,7,"1,194",sales@enterprisebot.org,+41-779815453
Lumaly,https://www.crunchbase.com/organization/lumaly,2022-04-30,11-50,2020-01-01,year,"Affiliate Marketing, Browser Extensions, E-Commerce","Berlin, Berlin, Germany",Lumaly is a digital shopping assistant that supports users across their entire shopping journey.,"32,458",,Active,For Profit,https://lumaly.de/,,https://www.facebook.com/lumalyde/,https://www.linkedin.com/company/lumaly/,,"Lumaly is a digital shopping assistant that supports users across their entire shopping journey - from product discovery & automatic savings to easy checkout for all online shops. Features like the Lumaly wallet with BTC cashback, and CO2 offset (among many others) offer additional benefits to users.",,,1100000,EUR,1159806,Convertible Note,,,,,,,Pre-Seed,Seed,"FJ Labs, Oskar Hartmann, Dutch Founders Fund, Tekton Ventures, Dominik Richter",,,5,"125,040",felix@lumaly.de,
Osterus,https://www.crunchbase.com/organization/osterus,2021-09-10,11-50,2019-01-01,year,"Big Data, Business Intelligence, Human Resources, Information Technology, Software","Berlin, Berlin, Germany","Osterus analyses resumes, finding and understanding non-traditional data signals","32,502",Less than $1M,Active,For Profit,https://osterus.com,https://julian-osterus.medium.com/global-investment-funds-how-does-their-human-capital-compare-775df1ae3b9e,,https://www.linkedin.com/company/37035843/,,"Osterus treats every aspect of a resume as a data point, whether it is the education, languages, email address, hobbies, work experience etc. We aggregate these profiles and show detailed insights into the workforce, offering M&A professionals and Investors the best data on the market, when it comes to people.",,,1300000,EUR,1535390,Seed,1540000,EUR,1807131,1300000,EUR,1535390,Seed,Seed,"APX, Maximilian Tayenthal, Ilavska Vuillermoz Capital, Andreas Burike, Max Tayenthal",,,10,,contact@osterus.com,
BforCure,https://www.crunchbase.com/organization/bforcure,2022-03-16,11-50,2018-01-01,year,"Biotechnology, Health Care, Manufacturing, Medical","Montreuil, Ile-de-France, France",BforCure is a biotech engaged in the manufacture of high speed biosensing solutions such as CHRONOS PCR.,"32,559",,Active,For Profit,https://www.bforcure.com/,,,https://www.linkedin.com/company/bforcure/,,,,,8200000,EUR,9037784,Venture - Series Unknown,10200000,EUR,11343992,8200000,EUR,9037784,Venture - Series Unknown,,ID Solutions,,,8,"21,865",info@bforcure.com,+33 (0)1 8425 1615
Power Dot,https://www.crunchbase.com/organization/power-dot,2022-05-18,51-100,2018-01-01,year,Renewable Energy,"Lisboa, Lisboa, Portugal",Power Dot is a public EV destination charging infrastructure operator,"32,673",,Active,,https://powerdot-ev.com/,,https://www.facebook.com/powerdot.ev/,https://www.linkedin.com/company/power-dot/,,"Power Dot is a public EV destination charging infrastructure operator that invests, installs and operates charge points on everyday high-traffic public locations",,,150000000,EUR,157100634,Secondary Market,,,,,,,,,Antin Infrastructure Partners,,,,"1,960",hello@powerdot.pt,
FIXAR,https://www.crunchbase.com/organization/fixar,2022-01-12,11-50,2018-01-01,day,"Autonomous Vehicles, Drones, Robotics, Software","Riga, Riga, Latvia","FIXAR is a leading software and aircraft design developer, powering commercial autonomous UAVs for industrial applications.","32,696",$1M to $10M,Active,For Profit,https://fixar.pro/,,https://www.facebook.com/FIXARGlobal,https://www.linkedin.com/company/fixar-global/,,"FIXAR is a leading software and aircraft design developer, powering commercial autonomous UAVs for industrial applications. FIXAR provides end-to-end solutions to the current challenges in aerial photography, laser scanning, real-time monitoring, delivery, agriculture, and the anti-drone sector. All solutions are created for the customers' needs to deliver better efficiency and reliability than the alternatives.",,,,,,Seed,2700000,USD,2700000,,,,Seed,Seed,"Angelsdeck, The Untitled Venture Company, NuVX Capital",,,11,"2,908",info@fixar.pro,
Horizm,https://www.crunchbase.com/organization/horizm,2021-12-31,11-50,2019-09-01,month,"Analytics, Artificial Intelligence, Digital Entertainment, Sports","Zürich, Zurich, Switzerland","Horizm provides digital inventory management, leveraging artificial intelligence services for the sports and entertainment industry","32,810",,Active,For Profit,https://horizm.com/,,,https://www.linkedin.com/company/horizm/,,,,,3000000,USD,3000000,Seed,4000000,USD,4000000,3000000,USD,3000000,Seed,Seed,"Mindspring Capital, Matrix Capital, Indigo Capital Partners",,,5,"27,962",info@horizm.com,
Notch,https://www.crunchbase.com/organization/notch-07c8,2022-03-11,11-50,2021-05-05,day,InsurTech,"Tel Aviv, Tel Aviv, Israel",The first insurance for digital assets,"32,817",,Active,For Profit,https://www.get-notch.com/,https://twitter.com/notchinsurance,,https://www.linkedin.com/company/notch-insurance/,,"Notch provides simple and affordable insurance for digital assets. Our first product, launching in summer 2022, insures Instagram accounts against hacks. We'll be covering other social media accounts and NFTs in the future.",,,7000000,USD,7000000,Seed,7000000,USD,7000000,7000000,USD,7000000,Seed,Seed,"Phoenix Insurance Company, Lightspeed Venture Partners, Jibe Ventures, Casey Neistat",,,,"38,821",,
Planted Green,https://www.crunchbase.com/organization/planted-green,2022-06-22,11-50,2021-01-01,year,"Organic, Renewable Energy, Sustainability","Cologne, Nordrhein-Westfalen, Germany",Planted Green plants mixed forests to compensate for CO2 emissions.,"32,827",Less than $1M,Active,For Profit,https://www.planted.green/,,https://www.facebook.com/planted.hq,https://www.linkedin.com/company/planted-green/,,,,,1000000,EUR,1056476,Pre-Seed,1000000,EUR,1056476,1000000,EUR,1056476,Pre-Seed,Seed,"Lucas von Fürstenberg, Julius Göllner, Smart Infrastructure Ventures ('SIVentures'), Rivus Capital, Friedrich A. Neuman",,,,,hi@planted.green,+49 221 222 05 192
Alorsfaim,https://www.crunchbase.com/organization/alorsfaim-5324,2021-08-23,11-50,2018-01-01,year,"Apps, E-Commerce, Food and Beverage, Retail","Paris, Ile-de-France, France",Alorsfaim develops an application for ordering and delivering food.,"33,020",,Active,For Profit,https://www.alorsfaim.com/,,,https://www.linkedin.com/company/alorsfaim/,,"Alorsfaim develops an application for ordering and delivering food. It offers various kinds of food from different Asian cuisine restaurants. Alorsfaim is based in Paris, France.",,,4000000,EUR,4697802,Seed,4000000,EUR,4697802,4000000,EUR,4697802,Seed,Seed,"Goodwater Capital, Cathay Innovation, iFly.vc",,,11,"43,678",wesley.cheng@alorsfaim.com,+33 06312101
Flicron,https://www.crunchbase.com/organization/flicron,2021-08-08,11-50,2018-01-01,day,"Advertising, Advertising Platforms, Digital Marketing, Marketing, Marketplace, Social Media, Social Media Advertising, Social Media Management, Social Media Marketing","Riyadh, Ar Riyad, Saudi Arabia",Micro-Influencers Marketing Platform,"33,074",,Active,For Profit,https://flicron.com,https://twitter.com/getflicron,https://www.facebook.com/flicron,https://www.linkedin.com/company/flicron,,Flicron is Saudi’s First Micro-Influencers Marketplace that enables brands to reach thousands of digital influencers instantly. We've built Flicron to help brand owners with their efforts in simplifying influencers marketing campaigns process. We improve campaign management capabilities while enabling brands to focus on campaign objectives. Flicron’s user generate content are proven to be seven times more engaging than traditional advertising.,,,4000086,SAR,1066761,Equity Crowdfunding,5385086,SAR,1436277,4000086,SAR,1066761,Equity Crowdfunding,,"MANAFA Capital, Mayader Limited",,,252,183,info@flicron.com,00966920012186
